Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
34|1|Русский размер|8^61|2255.00|0|1089.00||||||Р6272|Р6272||1||||36.500000|6.800000|6.800000|1.583333|||||||Набор салютов с 6 различными эффектами: 1. Фиолетовые звезды с белыми хвостами. 2. Красные и зеленые звезды с белыми хвостами. 3. Сфера синих звезд. 4. Зеленые звезды и облако трещащих разрывов. 5. Белые хвосты. 6. Красные звезды и облако трещащих разрывов.|Набор салютов с 6 различными эффектами: 1. Фиолетовые звезды с белыми хвостами. 2. Красные и зеленые звезды с белыми хвостами. 3. Сфера синих звезд. 4. Зеленые звезды и облако трещащих разрывов. 5. Белые хвосты. 6. Красные звезды и облако трещащих разрывов.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/0-_1pmx6aoQ?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р6272.jpg^http://presta6.newogonek.ru/images/р6272-1.jpg^http://presta6.newogonek.ru/images/р6272-2.jpg^http://presta6.newogonek.ru/images/р6272-3.jpg^http://presta6.newogonek.ru/images/р6272-4.jpg^http://presta6.newogonek.ru/images/р6272-5.jpg^http://presta6.newogonek.ru/images/р6272-6.jpg|1|||new|||||1^4^5|1|1|1
35|1|Неваляшка|8^58|557.00|0|274.45||||||РС680|РС680||3||||30.000000|10.000000|15.000000|0.666667|||||||6 эффектов: <BR>сфера из красных огней;<BR>сфера из зеленых огней;<BR>сфера из золотых огней;<BR>сфера из серебряных огней;<BR>сфера из красных и зеленых огней;<BR>сфера из разноцветных огней.|6 эффектов: <BR>сфера из красных огней;<BR>сфера из зеленых огней;<BR>сфера из золотых огней;<BR>сфера из серебряных огней;<BR>сфера из красных и зеленых огней;<BR>сфера из разноцветных огней.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/Hc6jr8UmQiQ?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс680.jpg|1|||new|||||1^4^5|1|1|1
36|1|Новый год шагает|9^73^71^78^107^63^114^123|6000.00|0|3300.00||||||Е-С290|Е-С290||0||||40.000000|17.500000|25.000000|8.500000|||||||1. Облако трещащих разрывов и красное мерцание.<BR>2. Зеленые и фиолетовые звезды.<BR>3. Красные звезды с белым мерцанием.<BR>4. Голубые звезды с красным мерцанием.<BR>5. Золотые хвосты с зеленым мерцанием.<BR>6. Зеленые и фиолетовые звезды и золотые хвосты.<BR>7. Красные звезды с белыми хвостами и облако трещащих разрывов.<BR>8. Фиолетовые звезды с хвостами и зеленым мерцанием.<BR>9. Красные и синие звезды с золотыми хвостами.<BR>10. Серебряные хвосты и облако трещащих разрывов.<BR>11. Красочная концовка: огромная сфера серебряных хвостов и облако трещащих разрывов|1. Облако трещащих разрывов и красное мерцание.<BR>2. Зеленые и фиолетовые звезды.<BR>3. Красные звезды с белым мерцанием.<BR>4. Голубые звезды с красным мерцанием.<BR>5. Золотые хвосты с зеленым мерцанием.<BR>6. Зеленые и фиолетовые звезды и золотые хвосты.<BR>7. Красные звезды с белыми хвостами и облако трещащих разрывов.<BR>8. Фиолетовые звезды с хвостами и зеленым мерцанием.<BR>9. Красные и синие звезды с золотыми хвостами.<BR>10. Серебряные хвосты и облако трещащих разрывов.<BR>11. Красочная концовка: огромная сфера серебряных хвостов и облако трещащих разрывов<br><iframe width="560" height="315" src="https://www.youtube.com/embed/T2sZkI2XGAk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/е-с290.jpg^http://presta6.newogonek.ru/images/е-с290-1.jpg^http://presta6.newogonek.ru/images/е-с290-2.jpg^http://presta6.newogonek.ru/images/е-с290-3.jpg^http://presta6.newogonek.ru/images/е-с290-4.jpg^http://presta6.newogonek.ru/images/е-с290-5.jpg^http://presta6.newogonek.ru/images/е-с290-6.jpg^http://presta6.newogonek.ru/images/е-с290-7.jpg^http://presta6.newogonek.ru/images/е-с290-8.jpg^http://presta6.newogonek.ru/images/е-с290-9.jpg^http://presta6.newogonek.ru/images/е-с290-10.jpg^http://presta6.newogonek.ru/images/е-с290-11.jpg|1|||new|||||1^4^5|1|1|1
37|1|Полный песец|9^71^88^107^65^114^116|950.00|0|522.50||||||Е-С351|Е-С351||0||||17.500000|12.500000|12.500000|1.444444|||||||1. Синие звезды и бронзовые хвосты.<BR>2. Красные звезды и искристые хвосты.<BR>3. Красные звезды с белыми хвостами и белым мерцанием.<BR>4. Белые кометы и облако трещащих разрывов|1. Синие звезды и бронзовые хвосты.<BR>2. Красные звезды и искристые хвосты.<BR>3. Красные звезды с белыми хвостами и белым мерцанием.<BR>4. Белые кометы и облако трещащих разрывов<br><iframe width="560" height="315" src="https://www.youtube.com/embed/6vLlKwfC60U?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/е-с351.jpg^http://presta6.newogonek.ru/images/е-с351-1.jpg^http://presta6.newogonek.ru/images/е-с351-2.jpg^http://presta6.newogonek.ru/images/е-с351-3.jpg^http://presta6.newogonek.ru/images/е-с351-4.jpg^http://presta6.newogonek.ru/images/е-с351-5.jpg|1|||new|||||1^4^5|1|1|1
38|1|Марсиане|5^36^41^107^68^114^118|3300.00|0|1210.00||||||РС161|РС161||3||||36.000000|20.500000|26.000000|5.500000|||||||32 заряда: залпы из разноцветных, красных, желтых или зеленых комет с искристыми трещащим форсами. После комет батарея выстреливает два НЛО - это очень крупные, необычно большие летающие фейерверки, действительно похожие на какой-то инопланетный неопознанный объект! НЛО с громким свистом улетает высоко в небо, где выбрасывает букетики трещащих или цветных звезд. От обычных залпов НЛО отличаются, во-первых, размерами, и уменьшенной скоростью полета, а также широким и ярким инверсионным следом|32 заряда: залпы из разноцветных, красных, желтых или зеленых комет с искристыми трещащим форсами. После комет батарея выстреливает два НЛО - это очень крупные, необычно большие летающие фейерверки, действительно похожие на какой-то инопланетный неопознанный объект! НЛО с громким свистом улетает высоко в небо, где выбрасывает букетики трещащих или цветных звезд. От обычных залпов НЛО отличаются, во-первых, размерами, и уменьшенной скоростью полета, а также широким и ярким инверсионным следом<br><iframe width="560" height="315" src="https://www.youtube.com/embed/BRAnsr2uiRo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс161.jpg^http://presta6.newogonek.ru/images/рс161-1.jpg^http://presta6.newogonek.ru/images/рс161-2.jpg^http://presta6.newogonek.ru/images/рс161-3.jpg|1|||new|||||1^4^5|1|1|1
39|1|Волшебные стрелы|9^107^62^114^118|892.50|0|490.88||||||РС580|РС580||3||||18.800000|8.800000|11.500000|1.055556|||||||1. Золотые форсовые трассы с красными искрами. 2. Серебряные форсовые трассы. 3. Трещащие искристые трассы. 4. Золотые искристые трассы.|1. Золотые форсовые трассы с красными искрами. 2. Серебряные форсовые трассы. 3. Трещащие искристые трассы. 4. Золотые искристые трассы.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/2ukXBwgM9og?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс580.jpg^http://presta6.newogonek.ru/images/рс580-1.jpg^http://presta6.newogonek.ru/images/рс580-2.jpg^http://presta6.newogonek.ru/images/рс580-3.jpg|1|||new|||||1^4^5|1|1|1
40|1|Ритм жизни|9^73^107^63^114^116|648.00|0|329.45||||||РС605|РС605||3||||12.500000|10.500000|10.500000|0.854167|||||||Разноцветные кометы разрываются сферами из: <BR>красных и трещащих огней;<BR>зеленых и трещащих огней;<BR>синих и трещащих огней;<BR>фиолетовых и трещащих огней.<BR>Красочная концовка из нескольких залпов.|Разноцветные кометы разрываются сферами из: <BR>красных и трещащих огней;<BR>зеленых и трещащих огней;<BR>синих и трещащих огней;<BR>фиолетовых и трещащих огней.<BR>Красочная концовка из нескольких залпов.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/njDFl51_jAI?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс605.jpg^http://presta6.newogonek.ru/images/рс605-1.jpg^http://presta6.newogonek.ru/images/рс605-2.jpg^http://presta6.newogonek.ru/images/рс605-3.jpg|1|||new|||||1^4^5|1|1|1
41|1|Не тормози!|9^71^88^76^107^63^114^116|648.00|0|329.45||||||РС607|РС607||3||||12.500000|10.500000|10.500000|0.854167|||||||Разноцветные кометы разрываются сферами из: <BR>1. красных огней  и серебряных форсов; <BR>2. зеленых огней  и серебряных форсов; <BR>3. синих огней  и серебряных форсов; <BR>4. красных огней с серебряными форсами и  трещащих огней.|Разноцветные кометы разрываются сферами из: <BR>1. красных огней  и серебряных форсов; <BR>2. зеленых огней  и серебряных форсов; <BR>3. синих огней  и серебряных форсов; <BR>4. красных огней с серебряными форсами и  трещащих огней.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/JkcRJiuxf0I?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс607.jpg^http://presta6.newogonek.ru/images/рс607-1.jpg^http://presta6.newogonek.ru/images/рс607-2.jpg^http://presta6.newogonek.ru/images/рс607-3.jpg^http://presta6.newogonek.ru/images/рс607-4.jpg|1|||new|||||1^4^5|1|1|1
42|1|Лунное серебро|9^107^63^114^116^71^74|763.00|0|391.60||||||РС609|РС609||3||||15.200000|11.300000|13.000000|0.812500|||||||4 эффекта. Разноцветные кометы разрываются сферами из: <BR>красных огней с форсами;<BR>зеленых огней с форсами;<BR>синих и белых мерцающих огней;<BR>серебряных форсов.|4 эффекта. Разноцветные кометы разрываются сферами из: <BR>красных огней с форсами;<BR>зеленых огней с форсами;<BR>синих и белых мерцающих огней;<BR>серебряных форсов.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/Y6U8diPPrY8?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс609.jpg|1|||new|||||1^4^5|1|1|1
43|1|Для милых дам!|9^73^71^83^76^107^65^114^116|1151.00|0|646.25||||||РС707|РС707||3||||15.000000|12.700000|12.700000|1.444444|||||||Разноцветные кометы разрываются сферами из: <BR>красных огней с форсами и трещащих огней;<BR>зеленых огней с форсами и трещащих огней;<BR>серебряных огней с форсами и трещащих огней.|Разноцветные кометы разрываются сферами из: <BR>красных огней с форсами и трещащих огней;<BR>зеленых огней с форсами и трещащих огней;<BR>серебряных огней с форсами и трещащих огней.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/OgyrPx5CXLE?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс707.jpg^http://presta6.newogonek.ru/images/рс707-1.jpg^http://presta6.newogonek.ru/images/рс707-2.jpg^http://presta6.newogonek.ru/images/рс707-3.jpg^http://presta6.newogonek.ru/images/рс707-4.jpg^http://presta6.newogonek.ru/images/рс707-5.jpg|1|||new|||||1^4^5|1|1|1
44|1|Мороз Иванович|9^71^78^87^85^107^64^114^116|2000.00|0|1100.00||||||РС812|РС812||3||||22.500000|15.000000|20.000000|2.833333|||||||Разноцветные кометы разрываются сферами из: <BR>1. красных и золотых мерцающих огней; <BR>2. красных мерцающих огней с серебряными форсами в центре; <BR>3. фиолетовых и зеленых мерцающих огней; <BR>4. красных огней с искристыми трещащими форсами.|Разноцветные кометы разрываются сферами из: <BR>1. красных и золотых мерцающих огней; <BR>2. красных мерцающих огней с серебряными форсами в центре; <BR>3. фиолетовых и зеленых мерцающих огней; <BR>4. красных огней с искристыми трещащими форсами.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/Io0IkGgqDf4?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс812.jpg^http://presta6.newogonek.ru/images/рс812-1.jpg^http://presta6.newogonek.ru/images/рс812-2.jpg^http://presta6.newogonek.ru/images/рс812-3.jpg^http://presta6.newogonek.ru/images/рс812-4.jpg|1|||new|||||1^4^5|1|1|1
45|1|Симфония огня|9^73^76^117^117^107^64^114^117|1994.00|0|1182.50||||||РС824|РС824||3||||17.800000|17.700000|17.700000|3.250000|||||||Разноцветные кометы, серебряные трассы, трещащие искристые трассы разрываются сферами из: <BR>золотых форсов и синих огней;<BR>зеленых пульсирующих и фиолетовых огней;<BR>трещащих искристых форсов;<BR>голубых и золотых мерцающих огней;<BR>трещащих форсов.<BR>Красочная концовка из нескольких залпов.|Разноцветные кометы, серебряные трассы, трещащие искристые трассы разрываются сферами из: <BR>золотых форсов и синих огней;<BR>зеленых пульсирующих и фиолетовых огней;<BR>трещащих искристых форсов;<BR>голубых и золотых мерцающих огней;<BR>трещащих форсов.<BR>Красочная концовка из нескольких залпов.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/imNfE3-MEgY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс824.jpg^http://presta6.newogonek.ru/images/рс824-1.jpg^http://presta6.newogonek.ru/images/рс824-2.jpg^http://presta6.newogonek.ru/images/рс824-3.jpg^http://presta6.newogonek.ru/images/рс824-4.jpg^http://presta6.newogonek.ru/images/рс824-5.jpg|1|||new|||||1^4^5|1|1|1
46|1|Коралловый риф|9^73^107^64^114^123|14000.00|0|9625.00||||||РС884|РС884||3||||56.000000|22.500000|37.500000|22.000000|||||||Разноцветные или трещащие кометы; мерцающие трассы разрываются сферами из: <BR>красных огней;<BR>белых мерцающих огней;<BR>фиолетовых огней;<BR>зеленых мерцающих огней;<BR>красных огней с красными и синими букетиками в центре;<BR>белых мерцающих форсов с красными и синими букетиками в центре;<BR>зеленых мерцающих огней с зелеными и фиолетовыми букетиками в центре;<BR>красных огней с трещащими форсами;<BR>красных и трещащих огней;<BR>зеленых и трещащих огней;<BR>синих и трещащих огней,<BR>трещащих огней;<BR>множества трещащих сфер (залп).|Разноцветные или трещащие кометы; мерцающие трассы разрываются сферами из: <BR>красных огней;<BR>белых мерцающих огней;<BR>фиолетовых огней;<BR>зеленых мерцающих огней;<BR>красных огней с красными и синими букетиками в центре;<BR>белых мерцающих форсов с красными и синими букетиками в центре;<BR>зеленых мерцающих огней с зелеными и фиолетовыми букетиками в центре;<BR>красных огней с трещащими форсами;<BR>красных и трещащих огней;<BR>зеленых и трещащих огней;<BR>синих и трещащих огней,<BR>трещащих огней;<BR>множества трещащих сфер (залп).<br><iframe width="560" height="315" src="https://www.youtube.com/embed/sE37QogECFQ?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс884.jpg^http://presta6.newogonek.ru/images/рс884-1.jpg^http://presta6.newogonek.ru/images/рс884-2.jpg^http://presta6.newogonek.ru/images/рс884-3.jpg^http://presta6.newogonek.ru/images/рс884-4.jpg^http://presta6.newogonek.ru/images/рс884-5.jpg^http://presta6.newogonek.ru/images/рс884-6.jpg^http://presta6.newogonek.ru/images/рс884-7.jpg^http://presta6.newogonek.ru/images/рс884-8.jpg|1|||new|||||1^4^5|1|1|1
47|1|Нижегор. Ярмарка|9^72^107^64^114^123|17894.00|0|8992.50||||||РС886|РС886||3||||55.000000|22.500000|37.000000|22.000000|||||||Нижний уровень: <BR>букеты из трещащих огней;<BR>букеты из синих огней.<BR>Верхний уровень. Разноцветные кометы разрываются сферами из: <BR>синих огней и серебряных форсов;<BR>зеленых мерцающих огней и серебряных форсов;<BR>синих и трещащих огней и форсов с белыми мерцающими искрами;<BR>крупных зеленых огней и трещащих форсов с красными мерцающими искрами;<BR>синих огней и золотых форсов;<BR>синих огней и искристых трещащих форсов|Нижний уровень: <BR>букеты из трещащих огней;<BR>букеты из синих огней.<BR>Верхний уровень. Разноцветные кометы разрываются сферами из: <BR>синих огней и серебряных форсов;<BR>зеленых мерцающих огней и серебряных форсов;<BR>синих и трещащих огней и форсов с белыми мерцающими искрами;<BR>крупных зеленых огней и трещащих форсов с красными мерцающими искрами;<BR>синих огней и золотых форсов;<BR>синих огней и искристых трещащих форсов<br><iframe width="560" height="315" src="https://www.youtube.com/embed/_NNJ0Ad0X6E?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс886.jpg^http://presta6.newogonek.ru/images/рс886-1.jpg^http://presta6.newogonek.ru/images/рс886-2.jpg^http://presta6.newogonek.ru/images/рс886-3.jpg^http://presta6.newogonek.ru/images/рс886-4.jpg^http://presta6.newogonek.ru/images/рс886-5.jpg^http://presta6.newogonek.ru/images/рс886-7.jpg|1|||new|||||1^4^5|1|1|1
48|1|Бенг. свечи 400|10^23|82.50|0|45.38||||||ТР151|ТР151||0||||41.000000|1.000000|3.300000|0.160000|||||||Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><iframe width="560" height="315" src="https://www.youtube.com/embed/lO-hQMWh2kY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр151.jpg|1|||new|||||1^4^5|1|1|1
49|1|Бенг. свечи 350|10^23|79.89|0|43.94||||||ТР152|ТР152||0||||36.000000|2.600000|2.600000|0.159091|||||||Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><iframe width="560" height="315" src="https://www.youtube.com/embed/IJkukv3PNPA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр152.jpg|1|||new|||||1^4^5|1|1|1
50|1|Бенг. свечи 350|10^23|79.89|0|43.94||||||ТР152|ТР152||4||||36.000000|2.600000|2.600000|0.159091|||||||Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><iframe width="560" height="315" src="https://www.youtube.com/embed/IJkukv3PNPA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр152.jpg|1|||new|||||1^4^5|1|1|1
51|1|Бенг. свечи 350|10^23|79.89|0|43.94||||||ТР153|ТР153||4||||36.000000|1.000000|3.300000|0.160000|||||||Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><iframe width="560" height="315" src="https://www.youtube.com/embed/VtTNTi7QOEk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр153.jpg|1|||new|||||1^4^5|1|1|1
52|1|Бенг. свечи 210|10^22|13.50|0|7.43||||||ТР156|ТР156||4||||27.500000|6.000000|6.000000|0.017000|||||||Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><iframe width="560" height="315" src="https://www.youtube.com/embed/2uMJVGGqCTk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр156.jpg|1|||new|||||1^4^5|1|1|1
53|1|Бенг. свечи 170с|10^22^25|17.85|0|9.82||||||ТР158|ТР158||4||||24.000000|6.000000|6.000000|0.019500|||||||Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета<br><iframe width="560" height="315" src="https://www.youtube.com/embed/HH5rPFo08YY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр158.jpg^http://presta6.newogonek.ru/images/тр158-1.jpg^http://presta6.newogonek.ru/images/тр158-2.jpg|1|||new|||||1^4^5|1|1|1
54|1|Бенг. свечи 210э|10^22|14.55|0|8.00||||||ТР159|ТР159||4||||27.500000|1.000000|6.000000|0.028500|||||||Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета<br><iframe width="560" height="315" src="https://www.youtube.com/embed/iUH1100nQ78?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр159.jpg^http://presta6.newogonek.ru/images/тр159-1.jpg|1|||new|||||1^4^5|1|1|1
55|1|Бенг. свечи 210с|10^22^25|22.35|0|12.29||||||ТР160|ТР160||4||||27.500000|1.000000|6.000000|0.027500|||||||Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета<br><iframe width="560" height="315" src="https://www.youtube.com/embed/M7rNXJvnejs?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/тр160.jpg^http://presta6.newogonek.ru/images/тр160-1.jpg^http://presta6.newogonek.ru/images/тр160-2.jpg|1|||new|||||1^4^5|1|1|1
56|1|Хлопушка|11^101|37.13|0|20.42||||||Р1900|Р1900||0||||11.000000|2.600000|7.500000|0.055556|||||||Хлопок и выброс<BR>разноцветного конфетти|Хлопок и выброс<BR>разноцветного конфетти<br><iframe width="560" height="315" src="https://www.youtube.com/embed/pV8D67fPeWo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р1900.jpg|1|||new|||||1^4^5|1|1|1
57|1|Факел дым. белый|17^94|760.00|0|276.76||||||ФДБ|ФДБ||7||||20.500000|3.500000|3.500000|0.166667|||||||белый дым|белый дым<br><iframe width="560" height="315" src="https://www.youtube.com/embed/J3y71YM_teQ?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фдб.jpg|1|||new|||||1^4^5|1|1|1
58|1|Факел дым. желтый|17^94|760.00|0|276.76||||||ФДЖ|ФДЖ||7||||20.500000|3.500000|3.500000|0.166667|||||||желтый дым|желтый дым<br><iframe width="560" height="315" src="https://www.youtube.com/embed/AF9wGwViYMw?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фдж.jpg|1|||new|||||1^4^5|1|1|1
59|1|Факел дым. зеленый|17^94|880.00|0|315.26||||||ФДЗ|ФДЗ||7||||20.500000|3.500000|3.500000|0.166667|||||||зеленый дым|зеленый дым<br><iframe width="560" height="315" src="https://www.youtube.com/embed/bvQZu0_sq5E?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фдз.jpg|1|||new|||||1^4^5|1|1|1
60|1|Факел дым. оранжевый|17^94|760.00|0|276.76||||||ФДО|ФДО||7||||20.500000|3.500000|3.500000|0.166667|||||||оранжевый дым|оранжевый дым<br><iframe width="560" height="315" src="https://www.youtube.com/embed/mXhcAKqzK7M?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фдо.jpg|1|||new|||||1^4^5|1|1|1
61|1|Факел дым. синий|17^94|880.00|0|315.26||||||ФДС|ФДС||7||||20.500000|3.500000|3.500000|0.166667|||||||Синий дым|Синий дым<br><iframe width="560" height="315" src="https://www.youtube.com/embed/4t0jDPqauyQ?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фдс.jpg|1|||new|||||1^4^5|1|1|1
62|1|Факел огн. зеленый|17^95|680.00|0|247.72||||||ФОЗ|ФОЗ||7||||19.500000|3.500000|3.500000|0.166667|||||||зеленый огонь|зеленый огонь<br><iframe width="560" height="315" src="https://www.youtube.com/embed/t5b7N7wepQ8?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фоз.jpg|1|||new|||||1^4^5|1|1|1
63|1|Факел огн. красный|17^95|680.00|0|247.72||||||ФОК|ФОК||7||||19.500000|3.500000|3.500000|0.166667|||||||красный огонь|красный огонь<br><iframe width="560" height="315" src="https://www.youtube.com/embed/XhE3N6-oFeM?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фок.jpg|1|||new|||||1^4^5|1|1|1
64|1|Факел огн. синий|17^95|800.00|0|296.56||||||ФОС|ФОС||7||||19.600000|3.500000|3.500000|0.166667|||||||синий огонь|синий огонь<br><iframe width="560" height="315" src="https://www.youtube.com/embed/uYJxvin1A7Y?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/фос.jpg|1|||new|||||1^4^5|1|1|1
