Имя;Артикул;r1 Штук в упаковке ;r2 Упаковок в блоке ;r3 Блоков в коробке;Краткое описание;Описание;Закупочная цена без НДС;Цена без налогов или Цена c налогами;Розничная цена без НДС;Налоговые правила;Мета-заголовок;Мета описание;Категории (x,y,z...);Основная категория;ID / Название магазина ;Действия когда нет в наличии;Расширенное Управление Запасами ;В зависимости от наличия ;Артикул поставщика №;Поставщик;Производитель;Склад
"ПАЛЬМИРА (1""-1,2"" x 369)";БСК0236910-12;1;1;1;<p>Более 20 эффектов.</p>;<p>Более 20 эффектов.</p>;13350;;26700;1;"ПАЛЬМИРА (1""-1,2"" x 369)";БСК0236910-12;9,107,114,65,64,124;9;1,14,17;2;1;1;БСК0236910-12;1;5;1
"ГРЕЗЫ ДРИАДЫ (1"" х 54)";БСК0105410;1;4;1;"<p>Разноцветные пауки с блеском; водопады из белых мерцающих звезд с красными жемчужинами; золотые трещащие облака с разноцветными жемчужинами. Финал - золотая мерцающая парча.</p>";"<p>Разноцветные пауки с блеском; водопады из белых мерцающих звезд с красными жемчужинами; золотые трещащие облака с разноцветными жемчужинами. Финал - золотая мерцающая парча.</p>";1800;;3600;1;"ГРЕЗЫ ДРИАДЫ (1"" х 54)";БСК0105410;9,107,114,65,120;9;1,14,17;2;1;1;БСК0105410;1;5;1
"МАЭСТРО (1"" х 53)";БСК0105310;1;4;1;"<p>Золотые пауки с золотым блеском; трещащее облако с ярко-красными звездами; красно-синие пионы; трещащее облако с ярко-зелеными звездами; </p>";"<p>Золотые пауки с золотым блеском; трещащее облако с ярко-красными звездами; красно-синие пионы; трещащее облако с ярко-зелеными звездами; разноцветные хризантемы с треском; трещащее облако с синими звездами; пауки с синими жемчужинами; золотое облако с пурпурными жемчужинами. Финал - золотая мерцающая парча.</p>";1750;;3500;1;"МАЭСТРО (1"" х 53)";БСК0105310;9,107,114,65,120;9;1,14,17;2;1;1;БСК0105310;1;5;1
"БЕРКУТ (1"" х 32)";БСК1103210;1;4;1;"<p>Разноцветные шуршащие пауки; бело-золотые ивы; мерцающие пальмы с синими или красными мерцающими жемчужинами. Финал - букет из золотых шуршащих цветов</p>";"<p>Разноцветные шуршащие пауки; бело-золотые ивы; мерцающие пальмы с синими или красными мерцающими жемчужинами. Финал - букет из золотых шуршащих цветов</p>";1100;;2200;1;"БЕРКУТ (1"" х 32)";БСК1103210;9,107,114,65,118;9;1,14,17;2;1;1;БСК1103210;1;5;1
"КОЛИЗЕЙ (1"" х 300)";БСП0630010;1;1;1;<p>18 эффектов</p>;"<p>18 эффектов:</p>

<ul>
    <li>серебряные сферы с красными звездами;</li>
    <li>зелено - пурпурные мерцающие пионы;</li>
    <li>золотые ивы с разноцветными звездами;</li>
    <li>зеленые звезды с золотым мерцанием;</li>
    <li>золотые змейки;</li>
    <li>шумовой удар;</li>
    <li>шуршащие зеленые цветы;</li>
    <li>красные хризантемы с треском;</li>
    <li>золотой треск с красными жемчужинами;</li>
    <li>золотой треск с синими жемчужинами;</li>
    <li>трещащие шлейфы;</li>
    <li>пурпурные пионы с треском;</li>
    <li>мерцающие красные ивы с синими звездами;</li>
    <li>мерцающие зеленые ивы с пурпурными ветвями;</li>
    <li>шуршащие пальмы с синими жемчужинами;</li>
    <li>золотые пальмы в зеленых звездах;</li>
    <li>золотая парча с разноцветными звездами;</li>
    <li>финал - трещащие пальмы.</li>
</ul>";13500;;27000;1;"КОЛИЗЕЙ (1"" х 300)";БСП0630010;9,107,114,65,124;9;1,14,17;2;1;1;БСП0630010;1;5;1
"КАРЕЛИЯ (1,2"" х 270)";БСК0627012;1;1;1;<p>8 эффектов</p>;"<p>8 эффектов:</p>

<ul>
    <li>серебряные рыбки и желтые листья;</li>
    <li>синие пионы с рыбками;</li>
    <li>золотые конские хвосты;</li>
    <li>золотая парча с яркими звездами;</li>
    <li>красные и зеленые шлейфы;</li>
    <li>разноцветные хризантемы;</li>
    <li>трещащие цветы;</li>
    <li>финал - золотой треск с синими жемчужинами.</li>
</ul>";12750;;25500;1;"КАРЕЛИЯ (1,2"" х 270)";БСК0627012;9,107,114,64,124;9;1,14,17;2;1;1;БСК0627012;1;5;1
"На счастье (1""х49)";А7434;1;4;1;<p>Красные, синие и зеленые звезды переходящие в трещащее мерцание, трещащие ивы, переходящие в красные, синие и зеленые звезды, в финале трещащие золотые ивы. </p>;<p>Красные, синие и зеленые звезды переходящие в трещащее мерцание, трещащие ивы, переходящие в красные, синие и зеленые звезды, в финале трещащие золотые ивы. </p>;1750;;3500;1;"На счастье (1""х49)";А7434;9,107,114,125,119;9;1,14,17;2;1;1;А7434;1;10;1
"Мадагаскар (1,25""х36)";А7436;1;4;1;"<p>Пурпурные звезды раскрываются пурпурными хризантемами; зеленые звезды раскрываются зелеными хризантемами;</p>";"<p>Пурпурные звезды раскрываются пурпурными хризантемами; зеленые звезды раскрываются зелеными хризантемами; синие звезды раскрываются синими пионами в трещащем мерцании и желто-пурпурными георгинами переходящими в серебряное мерцание; в финале одновременный залп красных звезд раскрывается красными хризантемами, переходящими в эффект тысячи хризантем.</p>";1700;;3400;1;"Мадагаскар (1,25""х36)";А7436;9,107,114,66,118;9;1,14,17;2;1;1;А7436;1;10;1
"Снежный замок (1,25""х49)";А7501;1;4;1;<p>Синие звезды раскрываются золотой мерцающей ивой с серебряным мерцанием. В финале залп нескольких зарядов.</p>;<p>Синие звезды раскрываются золотой мерцающей ивой с серебряным мерцанием. В финале залп нескольких зарядов.</p>;2475;;4950;1;"Снежный замок (1,25""х49)";А7501;9,107,114,66,119;9;1,14,17;2;1;1;А7501;1;10;1
"Соколиная охота (1,25""х49)";А7502;1;4;1;<p>Синие звезды раскрываются золотой мерцающей ивой с серебряным мерцанием. В финале залп нескольких зарядов</p>;<p>Синие звезды раскрываются золотой мерцающей ивой с серебряным мерцанием. В финале залп нескольких зарядов</p>;2475;;4950;1;"Соколиная охота (1,25""х49)";А7502;9,107,114,66,119;9;1,14,17;2;1;1;А7502;1;10;1
"Снежная леди (1,25""х49)";А7511;1;2;1;<p>Разноцветные звезды раскрываются красными, пурпурными и серебряными кокосовыми деревьями с разноцветным мерцанием, серебряные хризантемы с треском.</p>;<p>Разноцветные звезды раскрываются красными, пурпурными и серебряными кокосовыми деревьями с разноцветным мерцанием, серебряные хризантемы с треском.</p>;2800;;5600;1;"Снежная леди (1,25""х49)";А7511;9,107,114,66,119;9;1,14,17;2;1;1;А7511;1;10;1
"Огненный рубеж (1,25""х 36) с эффектом W веера";Р7842;1;4;1;<p>5 эффектов</p>;"<p>5 эффектов:</p>

<ol>
    <li>Пышные трещащие серебряные хвосты (ромашки) и красно-синяя сфера (пион).</li>
    <li>Пышные трещащие серебряные хвосты (ромашки) и зеленая сфера (пион).</li>
    <li>2 уровня. Веер W-формы: Внизу - синий букет. Вверху - по бокам - вертушки, в центре - зеленые звезды с пышными хвостами (кокос) и красное мерцание.</li>
    <li>Трещащие золотые хвосты (трещащая ива) и белое мерцание.</li>
    <li>Красочная концовка: множество серебряных ниспадающих нитей (парча) и красное мерцание</li>
</ol>";1660;;3320;1;"Огненный рубеж (1,25""х 36) с эффектом W веера";Р7842;9,107,114,66,118;9;1,14,17;2;1;1;Р7842;1;1;1
"Огненная панорама (1,25""х 150)";Р8585;1;1;1;<p>При работе пиротехники в небо взлетает 150 залпов на высоту около 30 метров. Они разрываются в ночном небе самыми разными огнями и цветами, создавая огромное количество зрелищных и увлекательных эффектов в течение двух минут.</p>;"<p>Эффекты:</p>

<ul>
    <li>Красные звезды с пышными хвостами (кокос) и золотое мерцание.</li>
    <li>Зеленые звезды с пышными хвостами (кокос) и облако золотых трещащих разрывов (трещащий дождь).</li>
    <li>Белая мерцающая сфера (пион).</li>
    <li>Зеленые звезды с пышными хвостами (кокос) и красное мерцание.</li>
    <li>Множество золотых ниспадающих нитей (парча) и зеленое мерцание.</li>
    <li>2 уровня: Вверху - серебряные звезды с пышными трещащими хвостами (трещащий кокос) и зеленые звезды. Внизу - красная сфера (пион) и треск.</li>
    <li>Трещащие золотые хвосты (трещащая ива).</li>
    <li>Фиолетовая сфера (пион) и золотое мерцание.</li>
    <li>Сине-красная сфера (пион) и белое мерцание.</li>
    <li>Синяя сфера (пион) и мерцающие золотые хвосты (мерцающая ива).</li>
    <li>Зеленая сфера (пион) и мерцающие золотые хвосты (мерцающая ива).</li>
    <li>Красочная концовка. 2 уровня: Вверху - красно-зеленая сфера (пион) и облако трещащих разрывов (трещащая хризантема). Внизу - треск. (80-100 сек., до 55 м)</li>
</ul>";6840;;13680;1;"Огненная панорама (1,25""х 150)";Р8585;9,107,114,66,117;9;1,14,17;2;1;1;Р8585;1;1;1
"Сияние севера (1,5""х 100)";Р8631;1;1;1;<p>8 эффектов</p>;"<p>Эффекты:</p>

<ul>
    <li>Красные, зеленые звезды с белым мерцанием.</li>
    <li>Красные и белые звезды с золотыми хвостами.</li>
    <li>Фиолетовые и желтые мерцающие звезды с золотыми хвостами.</li>
    <li>Белые мерцающие звезды и золотые кометы, переходящие в красные и синие звезды.</li>
    <li>Красные звезды с золотыми хвостами и белым мерцающим треском.</li>
    <li>Зеленые звезды с золотыми хвостами и белым мерцающим треском.</li>
    <li>Зеленые мерцающие и белые трещащие звезды с золотыми хвостами.</li>
    <li>Финал: внизу &ndash; залпы из трещащих искр, вверху &ndash; белые мерцающие звезды и сфера из золотых комет с треском. (85-95 сек., до 40 м)</li>
</ul>";10105;;20210;1;"Сияние севера (1,5""х 100)";Р8631;9,107,114,67,122;9;1,14,17;2;1;1;Р8631;1;1;1
"Мой генерал (0,8"", 1,25"" х 86) с веерными эффектами";Р8276;1;2;1;<p>Всего на протяжении работы фейерверка возникает 9 разных эффектов. Они создаются благодаря запуску 86 залпов разного калибра, которые взлетают над землей на высоту до 55 метров. Общее время работы салюта составляет 65 секунд. К особенностям этого супер-салюта можно отнести то, что он имеет многоуровневую конструкцию, является достаточно динамичным, веерным и разнокалиберным.</p>;"<p>Эффекты:</p>

<ul>
    <li>Сфера золотых хвостов с переходом в красно-зелено-синие звезды (цветная хризантема).</li>
    <li>Серебряные звезды с пышными шуршащими хвостами (шуршащий кокос), красные звезды и белое мерцание.</li>
    <li>Мерцающие золотые хвосты (мерцающая ива) и сине- зеленая сфера (пион).</li>
    <li>2 уровня. Веер Z-формы: Внизу - мерцающие звезды (бурак). Вверху - кометы с пышными хвостами и синие звезды.</li>
    <li>Веер Z: красно-синяя сфера (пион) и облако трещащих разрывов (трещащий дождь).</li>
    <li>2 уровня. Веер Z-формы: Внизу - красно-синие звезды (бурак). Вверху - золотые букеты.</li>
    <li>Золотые кометы.</li>
    <li>Множество золотых ниспадающих нитей (парча), зелено- фиолетовая сфера (пион) и облако трещащих разрывов (трещащая хризантема).</li>
    <li>Красочная концовка.</li>
    <li>Внизу - красно-синие звезды (бурак).</li>
    <li>Вверху - множество золотых ниспадающих нитей (парча) с зелеными и фиолетовыми звездами на концах.</li>
</ul>";3250;;6500;1;"Мой генерал (0,8"", 1,25"" х 86) с веерными эффектами";Р8276;9,107,114,36,66,121,69;9;1,14,17;2;1;1;Р8276;1;1;1
"Городской салют (0,8"", 1,0"" х 186) с веерными эффектами";Р8360;1;1;1;<p>Батарея салютов включает в себя большое количество разнообразных эффектов, которые работают на протяжении 100 секунд. Всего салют включает в свой состав 186 залпов, которые разрываются на высоте около 45 метров. Это позволяет наблюдать на интересным и увлекательным пиротехническим шоу с большого расстояния, получая максимальное удовольствие и положительные эмоции.</p>;"<p>Эффекты:</p>

<ul>
    <li>Красные звезды с пышными хвостами (кокос) и зеленое мерцание.</li>
    <li>Зеленые звезды с пышными хвостами (кокос) и золотое мерцание.</li>
    <li>Синие звезды с хвостами (волна) и треск.</li>
    <li>Фиолетовые звезды с хвостами (волна) и треск.</li>
    <li>Комета разрывается серебряными звездами с пышными хвостами (кокос) и облаком трещащих разрывов (трещащий дождь).</li>
    <li>Веер Z-формы: зеленые трещащие кометы и красные кометы с пышными хвостами.</li>
    <li>Веер: Свистящие змейки разрываются сферами золотых нитей с переходом в красно-зелено-синие звезды с треском (цветная трещащая хризантема).</li>
    <li>Веер: золотые трещащие разрывы.</li>
    <li>Красные звезды с пышными хвостами (кокос) и облако трещащих разрывов (трещащий дождь).</li>
    <li>Свистящие змейки разрываются зелено-фиолетовыми сферами (пион).</li>
    <li>Зеленые звезды с пышными хвостами (кокос) и облако трещащих разрывов (трещащий дождь).</li>
    <li>Свистящие змейки, облако трещащих разрывов (трещащая хризантема) и белое мерцание.</li>
    <li>Комета разрывается серебряными звездами с пышными хвостами (кокос) и облаком трещащих разрывов (трещащая хризантема).</li>
    <li>Свистящие змейки, красно-зелено-синяя сфера (пион) и облако трещащих разрывов (трещащая хризантема).</li>
    <li>3 уровня. Веер: Внизу - красно-белое мерцание. Посередине - серебряные кометы с пышными хвостами. Вверху- белое мерцание.</li>
    <li>2 уровня. Веер: Внизу - мерцающие букеты (бурак). Вверху- выстреливает подряд: Кометы разрываются желто-красной сферой (пион) и множеством серебряных ниспадающих нитей (парча). Зеленые и белые мерцающие букеты звезд.</li>
</ul>";5125;;10250;1;"Городской салют (0,8"", 1,0"" х 186) с веерными эффектами";Р8360;9,107,114,63,65,123,69;9;1,14,17;2;1;1;Р8360;1;1;1
